index,texte_extrait,note,categorie_auto,verdict,categorie_correcte,commentaire
0,"J'ai loue un appartement et me suis retrouvee avec un studio...",1,Annulation / Réservation,ok,,
1,"Comment un site comme abritel ne gere pas les locations...",1,Annulation / Réservation,ok,,
2,"Annonces frauduleuses. Le bien n'existe pas...",1,Annulation / Réservation,ok,,
3,"proprietaires oublient MAJ reservations donc annule",2,Annulation / Réservation,ok,,
4,"conjoint reserve logement et annulation par proprietaire",1,Annulation / Réservation,ok,,
5,"conciergerie problemes avec plateforme Abritel",1,Annulation / Réservation,ok,,
6,"Reservation acceptee alors que dates indisponibles",1,Annulation / Réservation,ok,,
7,"Reservation annulee sans motif",1,Annulation / Réservation,ok,,
8,"cherche a annuler reservation via smartphone",1,Annulation / Réservation,ok,,
9,"Ils facturent sans prevenir",1,Annulation / Réservation,err,Financier,theme principal est la facturation pas l'annulation
10,"Tres mauvais site de reservation",1,Annulation / Réservation,ok,,
11,"Arnaque plateforme mal geree",1,Annulation / Réservation,ok,,
12,"reserve mobil-home 3 fois annule apres paiement",1,Annulation / Réservation,ok,,
13,"reservation annulee frais eleves",1,Annulation / Réservation,ok,,
14,"super",5,Autre,ok,,avis positif court
15,"recherches faciles confiance choix precis",5,Autre,ok,,avis positif court
16,"fonctionne globalement tres bien",5,Autre,ok,,avis positif court
17,"1ere fois que j'utilise ce site",4,Autre,ok,,neutre sans theme
18,"super",5,Autre,ok,,avis positif court
19,"facile d'utilisation",5,Autre,ok,,avis positif court
20,"je suis desabuse",1,Autre,ok,,trop vague pour categoriser
21,"Application simple",5,Autre,ok,,avis positif court
22,"Bien presente pour voyager avec chien",5,Autre,ok,,avis positif court
23,"tres pratique merci",5,Autre,ok,,avis positif court
24,"perfect",5,Autre,ok,,avis positif court
25,"tres bien",5,Autre,ok,,avis positif court
26,"tres bien",5,Autre,ok,,avis positif court
27,"tres bon site pour les vacances simple efficace",5,Autre,ok,,avis positif court
28,"pratique pour communiquer et partager",5,Autre,ok,,avis positif court
29,"site serieux regle problemes rapidement",4,Autre,ok,,borderline Service Client mais trop court
30,"efficace",5,Autre,ok,,avis positif court
31,"j'adore",5,Autre,ok,,avis positif court
32,"que du bien",5,Autre,ok,,avis positif court
33,"beaucoup de resa non actualisees dommage",4,Autre,err,Annulation / Réservation,resa + disponibilite = Annulation/Reservation
34,"appli tres bien faite rien a dire",5,Autre,ok,,avis positif court
35,"excellent pour moi",5,Bug Technique,err,Autre,faux positif — avis positif generique
36,"excellent",5,Bug Technique,err,Autre,faux positif — avis positif generique
37,"impossible de se connecter sur Abritel",1,Bug Technique,ok,,
38,"nulle notifications inutiles",1,Bug Technique,ok,,
39,"Impossible de me connecter en qualite de proprietaire",1,Bug Technique,ok,,
40,"site en bug en permanence impossible contacter hote",2,Bug Technique,ok,,
41,"application ne fonctionne pas",3,Bug Technique,ok,,
42,"appli ne fonctionne pas",2,Bug Technique,ok,,
43,"Filtres non permanents propositions ne correspondent pas",2,Financier,err,UX / Ergonomie,probleme de filtres = UX pas Financier (faux positif via prix dans le texte)
44,"proprietaire aucune reservation Nul",1,Financier,ok,,
45,"caution de 2213 euros a avancer",1,Financier,ok,,
46,"pas recu argent apres location villa",1,Financier,ok,,
47,"reserve et paye mais personne a l'adresse",2,Financier,ok,,
